method,port,vhost,uri,status
GET,443,clientservices.googleapis.com,https://clientservices.googleapis.com:443/chrome-variations/seed?osname=win&channel=stable&milestone=65,200
GET,443,translate.googleapis.com,https://translate.googleapis.com:443/translate_a/l?client=chrome&hl=en&key=AIzaSyBOti4mM-6x9WDnZIjIeyEU21OpBXqWBgw,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/assets/spree/frontend/all-fe935964ffc1a8877767afcdc98fdedacd3e2455f2a5986e52ad8f3e1722df9f.js,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/assets/logo/spree_50-0ae687ccd486b63b01687b1df9e5394430f6fce3ab40c28250b179be4363ddc1.png,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/21/small/ror_tote.jpeg?1499978138,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/23/small/ror_bag.jpeg?1499978140,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/24/small/ror_baseball.jpeg?1499978140,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/26/small/ror_jr_spaghetti.jpeg?1499978142,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/29/small/ror_ringer.jpeg?1499978144,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/34/small/ruby_baseball.png?1499978147,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/33/small/apache_baseball.png?1499978146,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/41/small/spree_jersey.jpeg?1499978152,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/40/small/spree_spaghetti.jpeg?1499978152,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/38/small/spree_ringer_t.jpeg?1499978150,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/36/small/spree_tote_front.jpeg?1499978149,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/spree/products/35/small/spree_bag.jpeg?1499978148,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/cart_link,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/assets/favicon-92e86d463e909754599d66730477622cd3dd0b9bff58c47c9c38bebceb8073e5.ico,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/cart,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,304
GET,80,demosite.appvance.com,http://demosite.appvance.com/cart_link,304
GET,80,demosite.appvance.com,http://demosite.appvance.com/products,200
GET,80,demosite.appvance.com,http://demosite.appvance.com/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,304
GET,80,demosite.appvance.com,http://demosite.appvance.com/cart_link,304
